Page;Brand;URL
Home;;https://pling.se/
Gift card;;https://pling.se/presentkort/
Gift card;;https://pling.se/presentkort/valj-presentkort/
Gift card - redeem;;https://pling.se/presentkort/los-in-presentkort/?productId=b2264b2f-82b7-4c61-a644-b0ef59bd8503
Gift card - 3 months;;https://pling.se/presentkort/kop-presentkort/?productId=9f21364a-77c4-4a75-b29f-85a908595bd1
Gift card - 6 months;;https://pling.se/presentkort/kop-presentkort/?productId=65e66758-489a-4cc6-90c4-b8772ea1cb2e
Gift card - 12 months;;https://pling.se/presentkort/kop-presentkort/?productId=4546b662-8118-460f-8db2-1adfa605f25b
Terms;;https://pling.se/allmanna-villkor/
